trace_id,latency,total_spans,contains_errors,error_rate,error_messages,operation,services,longest_span_service,longest_span_duration,mean_span_duration
1bde466bf49bc70c,8144,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1479,542.9333333333333
7802bbe5fad73c61,6340,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1492,422.6666666666667
259abb86f2fb96d8,8437,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1869,562.4666666666667
751e47ffbd066a29,7627,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1752,508.46666666666664
712966d45900fd6c,7441,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1428,496.06666666666666
2d65cffebee34b41,55028,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,reservation,46476,3668.5333333333333
5fbc4383ce2ea95d,7734,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1620,515.6
50f0a313b8f4ac14,7793,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1424,519.5333333333333
4ccc180e14a6cd24,35948,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,reservation,28808,2396.5333333333333
701163471763f07f,6783,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,2054,452.2
250c96c8276e7b83,5155,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1451,343.6666666666667
70f5aeab4b123542,7102,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1491,473.46666666666664
09f8b9f2e16c3d40,6135,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1674,409.0
59946afe7f721757,1654,3,False,0.0,,HTTP POST /user,user; frontend,frontend,1505,551.3333333333334
34de11574bab7537,1631,3,False,0.0,,HTTP POST /user,user; frontend,frontend,1546,543.6666666666666
3e33c5a227e3f2f7,11559,5,False,0.0,,HTTP POST /reservation,user; reservation; frontend,reservation,8892,2311.8
37e7b9a2c80020c1,16540,5,False,0.0,,HTTP POST /reservation,frontend; reservation; user,reservation,13471,3308.0
09085a5c94256925,32659,5,False,0.0,,HTTP POST /reservation,user; reservation; frontend,reservation,30216,6531.8
